tconst,primaryTitle,startYear,region,language,directors,writers,cast_crew,categories
tt4465938,Akash Koto Dure,2014,BD,,nm7139171,nm7139173,"['Abedur Rahman', 'Abir Hossain Angkon', 'Aref Syed', 'Farhad Rahman', 'Faridur Reza Sagar', 'Kazi Safikul Islam Raju', 'Khair Khandakar', 'Misha Sawdagor', 'Mostafa Prokash', 'Razzak', 'Samia Zaman', 'Shamima Nazneen', 'Sharmili Ahmed', 'Shormy Mala', 'Sujan E. Bin Wadud', 'Zulfiqer Russell']","['actor', 'actress', 'cinematographer', 'composer', 'director', 'editor', 'producer', 'writer']"
tt4470938,Rani Kuthir Baki Itihash,2006,BD,,nm7139171,nm7143281,"['Ahsanul Haq Minu', 'Alamgir', 'Arunav Anjan', 'Dewan Shamsur Rakib', 'Enayetur Rahman Bappi', 'Ferdous Ahmed', 'Junaid Halim', 'Kaushik Shankar Das', 'M.M. Morshed', 'Maksudul Bari', 'Mithu', 'Nargis Akhter', 'Rahmat Ali', 'Ritu', 'S.I. Tutul', 'Sadika Parvin Popy', 'Samia Zaman', 'Sohana Ahmed']","['actor', 'actress', 'cinematographer', 'composer', 'director', 'editor', 'producer', 'production_designer', 'writer']"
tt4471858,The Last Frigate,2015,BD,,nm7144548,nm7144548,['Benny Winslow'],"['director', 'producer', 'writer']"
tt4499246,Jalebi,2013,PK,,nm6936105,"nm7167988,nm6936105","['Adnan Jaffar', 'Ali Abbas Naqvi', 'Anis Ahmed Islahi', 'Huzema Lucky', 'Iqbal Raju', 'Kashif Hussain', 'Muhammad Ali Khan', 'Murtaza Syed', 'Muzaina Malik', 'Rana Burhan', 'Samar Abbas', 'Shajee Hasan', 'Sohail Khan', 'Ziad Azad']","['actor', 'cinematographer', 'director', 'editor', 'producer', 'writer']"
tt4502184,Beyond the Heights,2015,PK,,nm7170326,nm7170328,"['Ahmed Ali', 'Ibrahim Ajnabi', 'Jawad Sharif', 'Mirza Ali', 'Samina Baig']","['cinematographer', 'composer', 'director', 'editor', 'producer', 'self', 'writer']"
tt4504626,Among the Believers,2015,PK,,"nm1663144,nm2578458",nm1597587,"['Abdul Aziz Ghazi', 'David Zieff', 'Habib Ur Rehman', 'Haider Ali', 'Hemal Trivedi', 'Jonathan Goodman Levitt', 'Milind Date', 'Mohammed Ali Naqvi', 'Pervez Hoodbhoy']","['cinematographer', 'composer', 'director', 'editor', 'producer', 'self', 'writer']"
tt4519382,To Be Continued...,2017,BD,,\N,nm12644970,"['Abul Hayat', 'Aditto Monir', 'Aparna Ghosh', 'Iftakher Ahmed Fahmi', 'Ishtiaq Ahmed Rumel', 'Mishu Sabbir', 'Mita Chowdhury', 'Nishan Zaman', 'Robytul Chowdhury', 'Shiraz', 'Sohel Khan', 'Tahsan']","['actor', 'actress', 'cinematographer', 'composer', 'writer']"
tt4520988,Frozen II,2019,BD,en,"nm0118333,nm1601644","nm1601644,nm0118333,nm0809205,nm2844448,nm0520188,nm0026153,nm2284377","['Alfred Molina', 'Chris Buck', 'Christophe Beck', 'Evan Rachel Wood', 'Idina Menzel', 'Jamie Sparer Roberts', 'Jason Ritter', 'Jeff Draheim', 'Jennifer Lee', 'Jonathan Groff', 'Josh Gad', 'Kristen Anderson-Lopez', 'Kristen Bell', 'Marc Smith', 'Martha Plimpton', 'Michael Giaimo', 'Peter Del Vecho', 'Rachel Matthews', 'Sterling K. Brown']","['actor', 'actress', 'casting_director', 'composer', 'director', 'editor', 'producer', 'production_designer', 'writer']"
tt4532922,Nishidhdho Prem,2007,BD,,nm5042664,"nm5042664,nm6826619","['Alekjender Boo', 'Chikon Ali', 'Gulshan Ara Ahmed', 'Istofa Rahman', 'Joseph Satabdi', 'Laboni', 'Mariam Rahman', 'Miju Ahmed', 'Salman Hashmi', 'Sekendar Ali', 'Shawon Ashraf', 'Sirajul Islam Kiron', 'Sordar Mustak Ahmed', 'Touhid Hossain Chowdhury', 'Zillur Rahman']","['actor', 'actress', 'cinematographer', 'director', 'editor', 'producer', 'writer']"
tt4536606,Bojhena Se Bojhena,2015,BD,,nm5069060,"nm5069060,nm5316525","['Achol', 'Akash Khan', 'Amit Hasan', 'Bipasha Kabir', 'Fokira', 'Istofa Rahman', 'Kamol Sarkar', 'Montazur Rahman Akbar', 'Prabir Mitra', 'Rehana Jolly', 'Shahidul Haque']","['actor', 'actress', 'cinematographer', 'director', 'editor', 'producer', 'writer']"
